ticker,ticker_slug,p_latest,ic_full,ic_pvalue,gap_signed,gap_abs,ic_degenerate,te_3m,e_alpha_3m_log,test_acc,test_period_start,test_period_end,n_test_samples,status,refresh_decision,reliability_tag,warnings
NOC,NOC,0.4961215281522648,-0.08839839154827617,0.1576576450557487,0.2364520693314468,0.2364520693314468,False,,,0.5680933852140078,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
UPS,UPS,0.20640786702996086,-0.3876819688263505,1.2084504533740703e-10,0.304872656526353,0.304872656526353,False,,,0.5019455252918288,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
DUK,DUK,0.6410680917366203,-0.15818067935028501,0.011101879901788935,0.38493102228510795,0.38493102228510795,False,,,0.3968871595330739,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CRWD,CRWD,0.7050167488205547,0.25819990837933215,2.7852034392409832e-05,0.09210293597453134,0.09210293597453134,False,,,0.669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
CVS,CVS,0.416663386352517,-0.4648441034747986,3.504707181020366e-15,0.41357888220728684,0.41357888220728684,False,,,0.33073929961089493,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
WM,WM,0.5345485844151872,0.3639942086688987,1.8054821701548906e-09,0.304974354439335,0.304974354439335,False,,,0.45525291828793774,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
EQIX,EQIX,0.37035518718174937,0.0416492285765994,0.5062285570442782,0.39009550760523526,0.39009550760523526,False,,,0.3735408560311284,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
USB,USB,0.34823474050673886,0.6101971823816849,1.317603926047148e-27,0.11379996462681286,0.11379996462681286,False,,,0.7509727626459144,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
FDX,FDX,0.43092097049163336,-0.2876627397973034,2.7510419099609787e-06,0.38799522461973823,0.38799522461973823,False,,,0.38132295719844356,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MAR,MAR,0.6611146996322312,0.20633384422224232,0.0008761743372317154,0.16382649451715592,0.16382649451715592,False,,,0.5214007782101168,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
FCX,FCX,0.24146892229503925,0.03355819043525473,0.592299265304848,0.36702776795189246,0.36702776795189246,False,,,0.48638132295719844,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
BX,BX,0.5718636872773306,-0.6156753348113292,3.313916622601469e-28,0.729412805093739,0.729412805093739,False,,,0.14785992217898833,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PNC,PNC,0.6329801791216697,-0.0782374049859741,0.21128351855701333,0.4046957905907323,0.4046957905907323,False,,,0.3657587548638132,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
GD,GD,0.482772502882658,0.20306278843543568,0.0010616868478976302,0.28162805093738946,0.28162805093738946,False,,,0.4785992217898833,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
SNDK,SNDK,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: scaler_zero_sample
WDC,WDC,0.3312618590106382,-0.03899392588905981,0.5337382896212339,0.5015254686947295,0.5015254686947295,False,,,0.29961089494163423,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
NKE,NKE,0.49204332444248267,0.4097486935571441,7.952381987177021e-12,0.01638220728687656,0.01638220728687656,False,,,0.7392996108949417,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
AMT,AMT,0.35477962225829124,0.23276386186770423,0.0001664534278598023,0.2988503714184648,0.2988503714184648,False,,,0.6147859922178989,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
ITW,ITW,0.4306651966836866,0.028478757578499683,0.6495295493320384,0.4002564556066502,0.4002564556066502,False,,,0.4474708171206226,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
RCL,RCL,0.571740833171849,0.15534793231381774,0.012651467262339363,0.3887557481429077,0.3887557481429077,False,,,0.4669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
ECL,ECL,0.4809770190646874,0.3897717118360329,9.419467962084368e-11,0.037765298903431166,0.037765298903431166,False,,,0.7042801556420234,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
ADP,ADP,0.7871409923155261,-0.5036499807709709,6.172536007902876e-18,0.649005129112133,0.649005129112133,False,,,0.10894941634241245,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MRSH,MRSH,0.4718803706738937,0.05083674554338973,0.41706302054126504,0.5185001768659356,0.5185001768659356,False,,,0.245136186770428,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
ICE,ICE,0.3442199801023127,0.1587321000361958,0.010820528408557385,0.1402060488149982,0.1402060488149982,False,,,0.5836575875486382,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MMM,MMM,0.17959813583588502,-0.3179625995385033,1.9060873353028545e-07,0.15814909798372834,0.15814909798372834,False,,,0.6498054474708171,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
JCI,JCI,0.43680293009172677,-0.21928586779476966,0.00039788230331701735,0.3843119915104351,0.3843119915104351,False,,,0.42023346303501946,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
WMB,WMB,0.7217942651391284,0.34088826803004246,2.057985072039955e-08,0.04861160240537665,0.04861160240537665,False,,,0.6809338521400778,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
SHW,SHW,0.34696124509048226,0.5372739175187765,1.2693217669501403e-20,0.4076229218252564,0.4076229218252564,False,,,0.36964980544747084,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
STX,STX,0.2468702368979908,-0.19341504728078904,0.0018392560399643515,0.45617704280155646,0.45617704280155646,False,,,0.38132295719844356,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
KKR,KKR,0.5567858597584721,-0.6642887238711428,4.376074133453046e-34,0.5460116731517509,0.5460116731517509,False,,,0.17898832684824903,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
BK,BK,0.5053355728419036,0.15289340331191745,0.014144915847158015,0.029054651574106805,0.029054651574106805,False,,,0.7470817120622568,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
ORLY,ORLY,0.8483341023152394,0.22848752375350645,0.00022069927407620906,0.26864609126282274,0.26864609126282274,False,,,0.48249027237354086,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
MCO,MCO,0.502289816931247,0.21799427088046328,0.0004313725268680626,0.35672974885037145,0.35672974885037145,False,,,0.43190661478599224,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
CTAS,CTAS,0.9308099321554963,0.4233136424305492,1.3483223906396028e-12,0.514268659356208,0.514268659356208,False,,,0.36186770428015563,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
CDNS,CDNS,0.8191792993992608,0.6503738349470635,2.716771720663669e-32,0.30431995047753807,0.30431995047753807,False,,,0.45136186770428016,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
DELL,DELL,0.4132397299153012,-0.23046203397882545,0.0001938731553863618,0.33321100106119556,0.33321100106119556,False,,,0.4474708171206226,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CSX,CSX,0.5031429564805856,0.6004695559225409,1.432059590597191e-26,0.24444198797311634,0.24444198797311634,False,,,0.5953307392996109,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MNST,MNST,0.5854769025997146,0.0394866697583929,0.5285771482955107,0.43964892111779275,0.43964892111779275,False,,,0.4046692607003891,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PWR,PWR,0.5072863011790323,0.3466661670889512,1.140532759609382e-08,0.15684471170852488,0.15684471170852488,False,,,0.7704280155642024,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
REGN,REGN,0.6313509390883179,0.2811588035019455,4.6937640856376895e-06,0.3103466572338167,0.3103466572338167,False,,,0.4669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
CRH,CRH,0.6833917183268116,0.15839417812867612,0.010992188971807844,0.2780465157410683,0.2780465157410683,False,,,0.4708171206225681,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
EMR,EMR,0.3264114701700774,0.03961533458510542,0.5272336473556791,0.35807392996108944,0.35807392996108944,False,,,0.4669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
SNPS,SNPS,0.618434950794122,0.4503629479232648,3.063680895257999e-14,0.29898302087018036,0.29898302087018036,False,,,0.4669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
CMI,CMI,0.6866801933563971,-0.23363835851959094,0.00015702176763767825,0.28775645560665014,0.28775645560665014,False,,,0.4474708171206226,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MDLZ,MDLZ,0.35025587572851236,0.5130665494072933,1.1687893345500064e-18,-0.008754863813229541,0.008754863813229541,False,,,0.7587548638132295,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
HLT,HLT,0.5424773896728522,-0.028490775721654146,0.6493915020859229,0.28823841528121685,0.28823841528121685,False,,,0.44357976653696496,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
KMI,KMI,0.7140126565077658,0.5960094109130395,4.162262656931439e-26,0.25952423063318,0.25952423063318,False,,,0.5836575875486382,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
GM,GM,0.3162075453170961,0.16306004547099806,0.008822435407009027,0.3921604174036081,0.3921604174036081,False,,,0.33852140077821014,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
CI,CI,0.6429497529842105,0.07986763075739751,0.20189415193530713,0.6047974885037142,0.6047974885037142,False,,,0.31906614785992216,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
TDG,TDG,0.5290383354635898,0.284574783956203,3.551267056404463e-06,0.2981207994340291,0.2981207994340291,False,,,0.4280155642023346,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
ELV,ELV,0.706004778245316,-0.34877853248574786,9.164040270853591e-09,0.4333790237000354,0.4333790237000354,False,,,0.32684824902723736,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
DASH,DASH,0.5740436731475702,0.09199464414985067,0.14136751769696526,0.30732663710674757,0.30732663710674757,False,,,0.5097276264591439,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
SLB,SLB,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
CL,CL,0.46092362248108065,0.189850607411094,0.0022390263182046886,0.03521400778210115,0.03521400778210115,False,,,0.6147859922178989,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MSI,MSI,0.5178568900253796,-0.15646915437516964,0.012016723055445431,0.33396710293597454,0.33396710293597454,False,,,0.4046692607003891,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
ABNB,ABNB,0.538099024408185,-0.2871247511537417,2.8768064771678267e-06,0.31619619595427406,0.31619619595427406,False,,,0.5797665369649806,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
HOOD,HOOD,0.5516926483319373,-0.3160375757849968,2.2789479174320465e-07,0.10594706249699759,0.10594706249699759,False,,,0.5175097276264592,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
TRV,TRV,0.5979626729141132,0.23463657135100893,0.00014686770878122912,0.12760435090201627,0.12760435090201627,False,,,0.6303501945525292,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
TFC,TFC,0.26139346659685536,0.1711327029228124,0.005952054569954764,0.3639635656172622,0.3639635656172622,False,,,0.5019455252918288,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
LHX,LHX,0.3532531457842208,0.19786953669351187,0.0014315767457495332,0.2543553236646621,0.2543553236646621,False,,,0.4785992217898833,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
EOG,EOG,0.40315320960958867,-0.028284346439236264,0.651764325851965,0.203979483551468,0.203979483551468,False,,,0.5642023346303502,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
PCAR,PCAR,0.6797489152472221,-0.22010098068048137,0.00037800730084453405,0.5174345596038203,0.5174345596038203,False,,,0.29961089494163423,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
RSG,RSG,0.6212967721384824,0.039977292778934026,0.5234634404585091,0.3192607003891051,0.3192607003891051,False,,,0.33073929961089493,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
WBD,WBD,0.25886591341528686,0.15643592774409554,0.012035122035373104,0.467916519278387,0.467916519278387,False,,,0.29571984435797666,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
TEL,TEL,0.3526366983765916,0.16508828386571348,0.008004364752221625,0.3895781747435444,0.3895781747435444,False,,,0.35019455252918286,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
APO,APO,0.787639330465433,0.12605194100081438,0.043489747674743555,0.507755571276972,0.507755571276972,False,,,0.22178988326848248,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
AON,AON,0.9084287254841772,0.2477886616595783,5.9245957416959386e-05,0.6102007428369296,0.6102007428369296,False,,,0.22957198443579765,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
AEP,AEP,0.535997343491214,0.07187556555967785,0.2509183717339524,0.34216483905199857,0.34216483905199857,False,,,0.4669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
COR,COR,0.6495478511527826,0.035557443896479954,0.5704221229890012,0.43716837637071093,0.43716837637071093,False,,,0.36964980544747084,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
NSC,NSC,0.46561760427388826,0.2168603237263596,0.00046291282895998605,0.31365405022992576,0.31365405022992576,False,,,0.5136186770428015,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
BKR,BKR,0.29271297897425785,0.2174103305130757,0.0004473566536952352,0.1488503714184648,0.1488503714184648,False,,,0.6147859922178989,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
DLR,DLR,0.37682665208468064,0.3530803207854492,5.839769872987923e-09,0.09888574460558897,0.09888574460558897,False,,,0.642023346303502,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
O,O,0.4039955739597497,-0.1483519590987241,0.017319549583762566,0.31385744605588967,0.31385744605588967,False,,,0.42023346303501946,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
SRE,SRE,0.5868354746523837,-0.24367916365034836,7.910579080273193e-05,0.2133091616554651,0.2133091616554651,False,,,0.4980544747081712,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
VLO,VLO,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
ROST,ROST,0.2657506445478955,-0.4965720014025879,2.0854645346145886e-17,0.6704633887513265,0.6704633887513265,False,,,0.25680933852140075,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
AZO,AZO,0.7908942513155257,-0.056448511446927876,0.36745754621857,0.3781128404669261,0.3781128404669261,False,,,0.3968871595330739,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PSX,PSX,0.5753460194311086,-0.15883248687901544,0.010769991485278043,0.3302131234524231,0.3302131234524231,False,,,0.38910505836575876,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
SPG,SPG,0.666974298614516,0.15869675255632973,0.010838372918350643,0.29957110010611965,0.29957110010611965,False,,,0.5447470817120622,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
APD,APD,0.22879703934305717,0.6494979243959822,3.4976964358294365e-32,0.18349398655818894,0.18349398655818894,False,,,0.6653696498054474,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
F,F,0.5389869814653944,-0.048819111392634146,0.43581504865648096,0.4090688008489565,0.4090688008489565,False,,,0.35797665369649806,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PSA,PSA,0.48031212634431186,0.17734608293367113,0.004346488610327561,0.13865847187831615,0.13865847187831615,False,,,0.642023346303502,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
GWW,GWW,0.5771175684238611,-0.22127310311284043,0.0003510399030599177,0.42384594977007434,0.42384594977007434,False,,,0.48638132295719844,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CARR,CARR,0.6466429472383997,-0.6677181363677495,1.5286555340645908e-34,0.5346603896682984,0.5346603896682984,False,,,0.23735408560311283,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
ALL,ALL,0.6349446995164705,0.376293010813501,4.557022414050434e-10,0.20838786699681633,0.20838786699681633,False,,,0.5836575875486382,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
ZTS,ZTS,0.4960052494644941,-0.04044670731155551,0.5185945166490601,0.3360673859214715,0.3360673859214715,False,,,0.3968871595330739,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
OKE,OKE,0.6797558721011225,0.06919127793864809,0.2690996301020608,0.4537981959674567,0.4537981959674567,False,,,0.29961089494163423,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
AJG,AJG,0.631675509491703,-0.12768852931861369,0.04081502208476755,0.6128493102228512,0.6128493102228512,False,,,0.14396887159533073,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
AME,AME,0.21714941996108,-0.5775735793140891,2.885776419105131e-24,0.4930889635656173,0.4930889635656173,False,,,0.3035019455252918,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
D,D,0.4217489724938046,0.19900631164600485,0.0013417442933974558,0.2126238061549346,0.2126238061549346,False,,,0.5953307392996109,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MPC,MPC,0.44735450089987255,0.014523572527373088,0.8167649611574025,0.2232622921825257,0.2232622921825257,False,,,0.5369649805447471,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
VST,VST,0.6512797842085591,0.012195587503393356,0.8457340400997643,0.4883047400070746,0.4883047400070746,False,,,0.36964980544747084,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
NXPI,NXPI,0.4054615548144449,0.5544117896570445,4.115326293943871e-22,0.09303148213654056,0.09303148213654056,False,,,0.6342412451361867,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MPWR,MPWR,0.30552037544142885,0.007274511356438331,0.907611063959104,0.2140033604527768,0.2140033604527768,False,,,0.6575875486381323,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
AFL,AFL,0.7627679419492059,-0.3204743914577866,1.506880433576985e-07,0.4754598514326141,0.4754598514326141,False,,,0.3540856031128405,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
URI,URI,0.5879142576953637,0.68482631662293,6.4814048369746615e-37,0.07381941987973117,0.07381941987973117,False,,,0.7159533073929961,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
FTNT,FTNT,0.7203742653346653,-0.17479258098814585,0.00495192938589054,0.44029890343119915,0.44029890343119915,False,,,0.2801556420233463,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
ADSK,ADSK,0.22473240405439204,0.2853107184870147,3.3425338040136025e-06,-0.001074460558896373,0.001074460558896373,False,,,0.7976653696498055,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
EXC,EXC,0.3700234524333998,0.06407579065242963,0.3061860770489483,0.2769808984789529,0.2769808984789529,False,,,0.5252918287937743,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
FITB,FITB,0.4199405463577367,-0.2845316600307664,3.563875932616282e-06,0.47105146798726566,0.47105146798726566,False,,,0.3346303501945525,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
XEL,XEL,0.6160483171427626,-0.48036235408560307,3.0546657419680578e-16,0.43100459851432615,0.43100459851432615,False,,,0.3735408560311284,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CIEN,CIEN,0.07641377312326653,0.4328532202968056,3.6876338271419624e-13,0.6555491687301026,0.6555491687301026,False,,,0.14785992217898833,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
GRMN,GRMN,0.5521240015488881,-0.19237653832232376,0.0019484131857617193,0.3791828793774319,0.3791828793774319,False,,,0.4708171206225681,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CVNA,CVNA,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
DHI,DHI,0.7285764972481134,0.22872293796941448,0.00021732806824129383,0.2865183940573045,0.2865183940573045,False,,,0.49416342412451364,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
ETR,ETR,0.8264533718229499,0.07552342548185684,0.22760374815339302,0.3277016271666077,0.3277016271666077,False,,,0.45525291828793774,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
TRGP,TRGP,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
CMG,CMG,0.8798470588332813,0.11484466903447649,0.06603119067163789,0.7091307039264237,0.7091307039264237,False,,,0.1556420233463035,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CTVA,CTVA,0.4284480612123664,0.18904327097095283,0.0023399213860919076,0.15962592854616198,0.15962592854616198,False,,,0.5369649805447471,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
FANG,FANG,0.4126597363538175,-0.1722631153289295,0.005625376930386013,0.4182967810399717,0.4182967810399717,False,,,0.33852140077821014,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MET,MET,0.6262731267221402,-0.5198808365758754,3.393203515248113e-19,0.2337283339228865,0.2337283339228865,False,,,0.4708171206225681,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
EA,EA,0.21074837079156716,0.28097853135462847,4.762880890338158e-06,0.17784311991510438,0.17784311991510438,False,,,0.5642023346303502,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
TGT,TGT,0.3655316653896197,-0.2544057098905076,3.680820949273855e-05,0.3434382737884683,0.3434382737884683,False,,,0.4474708171206226,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
