ticker,ticker_slug,p_latest,ic_full,ic_pvalue,gap_signed,gap_abs,ic_degenerate,te_3m,e_alpha_3m_log,test_acc,test_period_start,test_period_end,n_test_samples,status,refresh_decision,reliability_tag,warnings
BAC,BAC,0.4231143574766303,-0.2222416240611709,0.00033011826631154233,0.3172311637778564,0.3172311637778564,False,,,0.39299610894941633,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
HD,HD,0.8294594462452335,0.5267036071396253,9.562960368931265e-20,0.36558188892819243,0.36558188892819243,False,,,0.4980544747081712,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
PG,PG,0.37441520739072337,0.016635230974572437,0.7907002590894536,0.15143261407852848,0.15143261407852848,False,,,0.603112840466926,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
CVX,CVX,0.45706508693500136,-0.11699026106234729,0.061097394000181805,0.2747081712062257,0.2747081712062257,False,,,0.5252918287937743,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
GE,GE,0.25809251564737334,-0.65816088476156,2.769503367867748e-33,0.36589140431552886,0.36589140431552886,False,,,0.48638132295719844,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CAT,CAT,0.4131114626844181,-0.47599906117093466,6.142736591152243e-16,0.3161655465157411,0.3161655465157411,False,,,0.4474708171206226,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
KO,KO,0.46089560406072216,-0.3152422574880101,2.4526312060634584e-07,0.18166342412451364,0.18166342412451364,False,,,0.5058365758754864,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
NFLX,NFLX,0.6762242678786449,0.1946465534793231,0.0017170669431311348,0.279633887513265,0.279633887513265,False,,,0.5680933852140078,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
AMD,AMD,0.535636738544885,0.1467655642023346,0.018798956691684944,0.3705965909090909,0.3705965909090909,False,,,0.3828125,2025-01-02,2026-01-09,256.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
PLTR,PLTR,0.5109106785375125,-0.36435333906433803,1.7357567946477748e-09,0.1431390798282106,0.1431390798282106,False,,,0.6147859922178989,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
CSCO,CSCO,0.35994948377857644,-0.004027491855940638,0.9487702685666848,0.4486337106473293,0.4486337106473293,False,,,0.3229571984435798,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
LRCX,LRCX,0.22120210464054782,-0.2684732999276083,1.2808863903931886e-05,0.18889724089140436,0.18889724089140436,False,,,0.5758754863813229,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
MRK,MRK,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
AMAT,AMAT,0.2475157917651872,-0.28615552325581395,3.117342535042122e-06,0.30728245489918643,0.30728245489918643,False,,,0.48249027237354086,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PM,PM,0.5865365469178516,0.17347694778753053,0.005292578593715952,0.20091528121683755,0.20091528121683755,False,,,0.5797665369649806,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MS,MS,0.5036068515834777,0.20188501040629803,0.0011368861033994734,0.22966926070038907,0.22966926070038907,False,,,0.5953307392996109,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
GS,GS,0.48961170201053356,0.3154034419961994,2.416434971902522e-07,0.30043332154227087,0.30043332154227087,False,,,0.5836575875486382,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
RTX,RTX,0.4897665471685479,-0.31619805334358875,2.2453645993113283e-07,0.508622214361514,0.508622214361514,False,,,0.38910505836575876,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
WFC,WFC,0.4046821569763302,0.1507654850239797,0.015562574998462583,0.16578970640254687,0.16578970640254687,False,,,0.5330739299610895,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
UNH,UNH,0.6647773842498589,-0.10000721088589266,0.10972411543959495,0.5558631057658294,0.5558631057658294,False,,,0.26459143968871596,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
IBM,IBM,0.7035190931551147,0.480667756311646,2.9078066727945376e-16,0.12715776441457383,0.12715776441457383,False,,,0.6614785992217899,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
AXP,AXP,0.6094645391534599,0.45327204551624284,1.998242062810197e-14,0.10876812875840114,0.10876812875840114,False,,,0.6264591439688716,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
TMUS,TMUS,0.6166726708669983,0.022284465206768616,0.7221777216419727,0.6206004598514325,0.6206004598514325,False,,,0.23735408560311283,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MCD,MCD,0.6840481347141613,-0.3120546217536874,3.2851125216626824e-07,0.3486027591085957,0.3486027591085957,False,,,0.42412451361867703,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
LIN,LIN,0.45637143753300985,0.27232193353542666,9.495697114473499e-06,0.3477449593208348,0.3477449593208348,False,,,0.5136186770428015,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
GEV,GEV,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: scaler_zero_sample
PEP,PEP,0.44130910541986706,-0.08919017509727625,0.15395492747504275,0.2591085956844712,0.2591085956844712,False,,,0.5136186770428015,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
INTC,INTC,0.39301545590319675,-0.351081067324224,7.206238898829503e-09,0.3783516094800142,0.3783516094800142,False,,,0.33073929961089493,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
VZ,VZ,0.2583699672835359,0.42822835603112835,6.949058400356395e-13,0.18349398655818894,0.18349398655818894,False,,,0.6653696498054474,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
C,C,0.3775337642705002,0.3289747534159804,6.694358493619965e-08,0.35638043862752034,0.35638043862752034,False,,,0.28793774319066145,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
AMGN,AMGN,0.32280494567463247,-0.06481172518324133,0.3006527016141994,0.4089671029359745,0.4089671029359745,False,,,0.4046692607003891,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
TXN,TXN,0.1865639206371565,0.4357121244683739,2.480500680178772e-13,0.11968517863459494,0.11968517863459494,False,,,0.6575875486381323,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
KLAC,KLAC,0.128087779367067,-0.09974776038367567,0.11065318958562861,0.42504863813229576,0.42504863813229576,False,,,0.41245136186770426,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
T,T,0.50794087601529,0.2999565932947244,9.65760940629806e-07,-0.05820215776441462,0.05820215776441462,False,,,0.8093385214007782,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
ABT,ABT,0.31897898130373387,-0.022934151886707083,0.7144260371141044,0.12543774319066148,0.12543774319066148,False,,,0.7120622568093385,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
NEE,NEE,0.3845164052659566,-0.009440604922631435,0.8802833705051685,0.46915458082773254,0.46915458082773254,False,,,0.2490272373540856,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
TMO,TMO,0.7160577940053068,-0.015245368066238349,0.8078314221927768,0.26320746374248327,0.26320746374248327,False,,,0.5447470817120622,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
GILD,GILD,0.42823534484589354,-0.2404568873857569,9.888914512250327e-05,0.34629465864874426,0.34629465864874426,False,,,0.3968871595330739,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
DIS,DIS,0.09355710026312179,0.5469464019093294,1.877563039405027e-21,0.14661743898125212,0.14661743898125212,False,,,0.7704280155642024,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
APH,APH,0.5035244392147245,0.4455224640304044,6.18258763221096e-14,0.4882339936328264,0.4882339936328264,False,,,0.3151750972762646,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
ISRG,ISRG,0.8244228186661432,0.21838733485657402,0.0004209134883702047,0.26709851432614085,0.26709851432614085,False,,,0.5408560311284046,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
BA,BA,0.1943732817773126,0.44833400257895206,4.117611625492187e-14,0.4093473646975592,0.4093473646975592,False,,,0.4474708171206226,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
DE,DE,0.25114913769967906,0.17269859628087952,0.005503881064902531,0.24103289706402542,0.24103289706402542,False,,,0.5953307392996109,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
ADI,ADI,0.2444646614797424,-0.09595285494525381,0.12495956190000179,0.2636540502299257,0.2636540502299257,False,,,0.5136186770428015,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
TJX,TJX,0.2496268266529037,0.039023617772147315,0.5334265731373083,0.42566766890696855,0.42566766890696855,False,,,0.38910505836575876,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CRM,CRM,0.5499949531197307,0.048760434576056465,0.43636753009334006,0.47415104350902015,0.47415104350902015,False,,,0.3463035019455253,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
ANET,ANET,0.8871966892701749,0.46870122047778473,1.9330961459137586e-15,0.30769808984789526,0.30769808984789526,False,,,0.5525291828793775,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
SCHW,SCHW,0.4821780278581681,-0.23593453081169125,0.00013458229973479602,0.3048372833392289,0.3048372833392289,False,,,0.47470817120622566,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
BLK,BLK,0.5941784687607373,0.14952903017826438,0.016442171861414855,0.2964715245843651,0.2964715245843651,False,,,0.5330739299610895,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
UNP,UNP,0.5192072899734602,0.6886388958012849,1.821985711808496e-37,-0.03127431906614786,0.03127431906614786,False,,,0.7937743190661478,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
LOW,LOW,0.41570192677454054,0.5648555560582752,4.613210419466986e-23,0.39164750619030775,0.39164750619030775,False,,,0.44357976653696496,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
HON,HON,0.36890536005609276,0.19553730997194824,0.0016333626217597578,0.20225946232755565,0.20225946232755565,False,,,0.6147859922178989,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
PFE,PFE,0.48318429124887124,0.47000483553524564,1.5782752160992058e-15,0.06107622921825251,0.06107622921825251,False,,,0.6536964980544747,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
LMT,LMT,0.37972943978380164,-0.10813854515428467,0.08359111203205676,0.4149274849663954,0.4149274849663954,False,,,0.49416342412451364,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
DHR,DHR,0.7328075242540837,0.20291998461677674,0.0010705544263352475,0.2701627166607711,0.2701627166607711,False,,,0.5252918287937743,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
