Date,,AAPL,AMZN,AVGO,BRK-A,GOOGL,META,MSFT,NVDA,TSLA,TSM
2026-02-03,AAPL,0.05419986675882729,0.018927323037765655,0.031072170873534817,0.011122558316333395,0.02667652723060751,0.015414282450332625,-0.0073334702856407185,-0.00038290414436701757,-0.0040469742453186,0.02740203307917076
2026-02-03,AMZN,0.018927323037765655,0.06767571340307259,0.04461647008178351,-0.004067178787084715,0.019026083693145197,0.0331862813644342,0.04276304832804949,0.028561716228064818,0.021708345127245083,0.05003139552252862
2026-02-03,AVGO,0.031072170873534817,0.04461647008178351,0.15946694046672044,-0.0112545562025496,0.04052355799713957,0.02643143343499199,0.04336168847402987,0.06381601472401452,0.021390894517679584,0.07697205879919841
2026-02-03,BRK-A,0.011122558316333395,-0.004067178787084715,-0.0112545562025496,0.021750150503909733,0.001170948942968385,0.003368162915970523,-0.02045708668411633,-0.01887057081838681,0.006528255883573728,-0.01250008798635614
2026-02-03,GOOGL,0.02667652723060751,0.019026083693145197,0.04052355799713957,0.001170948942968385,0.04240572781364643,0.019461843805274007,-0.004422496959776902,0.0232038719458433,0.021089100200944014,0.023962624045613504
2026-02-03,META,0.015414282450332625,0.0331862813644342,0.02643143343499199,0.003368162915970523,0.019461843805274007,0.22076297398861455,-0.08598437194542696,0.05154457555486756,-0.008054890917550916,0.018542620998327434
2026-02-03,MSFT,-0.0073334702856407185,0.04276304832804949,0.04336168847402987,-0.02045708668411633,-0.004422496959776902,-0.08598437194542696,0.18934490021861727,0.024112270922723115,0.04700189729410837,0.034026427718577924
2026-02-03,NVDA,-0.00038290414436701757,0.028561716228064818,0.06381601472401452,-0.01887057081838681,0.0232038719458433,0.05154457555486756,0.024112270922723115,0.09433749872496044,0.040688234968108715,0.047488390862464966
2026-02-03,TSLA,-0.0040469742453186,0.021708345127245083,0.021390894517679584,0.006528255883573728,0.021089100200944014,-0.008054890917550916,0.04700189729410837,0.040688234968108715,0.1492327110160757,0.007878528733098734
2026-02-03,TSM,0.02740203307917076,0.05003139552252862,0.07697205879919841,-0.01250008798635614,0.023962624045613504,0.018542620998327434,0.034026427718577924,0.047488390862464966,0.007878528733098734,0.11490438495276507
