Date,,AAPL,AMZN,AVGO,BRK-A,GOOGL,META,MSFT,NVDA,TSLA,TSM
2026-02-03,AAPL,0.00021507883634455275,7.510842475303831e-05,0.0001233022653711699,4.413713617592617e-05,0.0001058592350420933,6.116778750131994e-05,-2.9101072562066342e-05,-1.5194608903453078e-06,-1.6059421608407142e-05,0.00010873822650464586
2026-02-03,AMZN,7.510842475303831e-05,0.0002685544182661611,0.00017704948445152187,-1.6139598361447283e-05,7.550033211565554e-05,0.00013169159271600873,0.0001696946362224186,0.00011334014376216197,8.614422669541699e-05,0.000198537283819558
2026-02-03,AVGO,0.0001233022653711699,0.00017704948445152187,0.0006328053193123827,-4.4660937311704756e-05,0.00016080776982991892,0.00010488664061504758,0.0001720701923572614,0.0002532381536667243,8.488450205428406e-05,0.00030544467777459685
2026-02-03,BRK-A,4.413713617592617e-05,-1.6139598361447283e-05,-4.4660937311704756e-05,8.631012104726084e-05,4.6466227895570835e-06,1.3365725857025884e-05,-8.117891541316003e-05,-7.488321753328099e-05,2.5905777315768762e-05,-4.960352375538151e-05
2026-02-03,GOOGL,0.0001058592350420933,7.550033211565554e-05,0.00016080776982991892,4.6466227895570835e-06,0.00016827669767320014,7.722953890981749e-05,-1.75495911102258e-05,9.20788569279496e-05,8.368690555930164e-05,9.508977795878375e-05
2026-02-03,META,6.116778750131994e-05,0.00013169159271600873,0.00010488664061504758,1.3365725857025884e-05,7.722953890981749e-05,0.0008760435475738673,-0.0003412078251802657,0.00020454196648756967,-3.1963852847424266e-05,7.358182935844219e-05
2026-02-03,MSFT,-2.9101072562066342e-05,0.0001696946362224186,0.0001720701923572614,-8.117891541316003e-05,-1.75495911102258e-05,-0.0003412078251802657,0.0007513686516611796,9.568361477271078e-05,0.000186515465452811,0.00013502550681975366
2026-02-03,NVDA,-1.5194608903453078e-06,0.00011334014376216197,0.0002532381536667243,-7.488321753328099e-05,9.20788569279496e-05,0.00020454196648756967,9.568361477271078e-05,0.00037435515367047797,0.00016146124987344727,0.00018844599548597209
2026-02-03,TSLA,-1.6059421608407142e-05,8.614422669541699e-05,8.488450205428406e-05,2.5905777315768762e-05,8.368690555930164e-05,-3.1963852847424266e-05,0.000186515465452811,0.00016146124987344727,0.00059219329768284,3.1264002909121956e-05
2026-02-03,TSM,0.00010873822650464586,0.000198537283819558,0.00030544467777459685,-4.960352375538151e-05,9.508977795878375e-05,7.358182935844219e-05,0.00013502550681975366,0.00018844599548597209,3.1264002909121956e-05,0.0004559697815585916
