,Annualized Volatility
AAPL,0.23280864837635928
AMZN,0.2601455619515209
AVGO,0.39933311967168517
BRK-A,0.14747932229268526
GOOGL,0.2059265107110943
META,0.4698542050345134
MSFT,0.4351377945187217
NVDA,0.3071441009118691
TSLA,0.3863064988012442
TSM,0.33897549314480696
