Date,AAPL,AMZN,AVGO,BRK-A,GOOGL,META,MSFT,NVDA,TSLA,TSM
2015-01-05,-0.02857576519979443,-0.020730693742290217,-0.01611509519880886,-0.011786541595915133,-0.019237721582638104,-0.016191653660686586,-0.009238078437568405,-0.01703425427802283,-0.042950328828715974,-0.024535174025982362
2015-01-06,9.425063063392612e-05,-0.02309805250552857,-0.023006008789496907,-0.0024012878810822777,-0.02498908538879596,-0.013564807585010153,-0.014786192959965343,-0.030787560890374766,0.005648255842151179,-0.01763393390387274
2015-01-07,0.013924476471350975,0.010543956937772861,0.026654710144365837,0.013651012787001442,-0.002945463682589374,0.0,0.012625072421161121,-0.002608841653347869,-0.001563151712540786,0.014408671099541493
2015-01-08,0.037702801723388614,0.006812759380520114,0.048766106132029335,0.014217406710470382,0.0034781830058077906,0.02630873927695869,0.02899373226666757,0.03692725259513307,-0.0015655310626955213,0.00643957096154317
2015-01-09,0.0010719351852450266,-0.011818170381278284,0.010638235368173345,-0.00888441775698141,-0.012286464775918705,-0.00564397281243576,-0.008440731853895052,0.004020103783910797,-0.01898062692006783,-0.028367233141117457
2015-01-12,-0.024949741913216972,-0.018765211590182393,-0.016726815411697064,-0.010069443321206182,-0.007336148740452081,-0.01320729299874654,-0.01258116146345621,-0.012617038629892743,-0.021768130883067914,-0.019528810066178022
2015-01-13,0.008839819848504352,0.011362407445480715,-0.005637993779791346,0.0025863012368877373,0.009490701547073105,-0.003525804460074912,-0.005163745636216264,-0.001524919524842735,0.010037948528329803,0.01242835999702402
2015-01-14,-0.0038178613469466356,-0.004999968410075042,0.007865356581241965,-0.00504409019508755,0.008196641839029148,-0.0022260844674750644,-0.008665650176922602,0.0040612329906789,-0.05826208511535263,0.0004747935245566941
2015-01-15,-0.02751533472490686,-0.021785701035730624,-0.020224536331472063,-0.0016599460720613803,-0.0038021950758585425,-0.029669934467294008,-0.010498749928092915,-0.007117622372515639,-0.0042646091303445875,0.08332432044995888
2015-01-16,-0.007800576163327955,0.013121402610750997,0.024374679370915066,0.009458087916650102,0.012716177797791555,0.015144497250133442,0.0165728323798283,0.018200822242390707,0.006234752215779189,-0.012749997966715944
2015-01-20,0.025431207439721278,-0.0044813464480519555,0.010063238569256451,-0.004387672276878929,-0.0010191883468488503,0.014000967246205608,0.0032387010130264806,0.003001656612016524,-0.005922112022732264,0.02144968717140182
2015-01-21,0.007605206689890596,0.0266255183222718,0.004851033860577894,-0.007850675339161808,0.02028559349440677,0.006536787313227611,-0.010183083665114164,0.0138888584381108,0.023887916243012904,0.00518347296037331
2015-01-22,0.0256830785880271,0.04303046145131587,-0.0017091649151079044,0.01803507755706173,0.03197790096421145,0.01178865185158893,0.026008893535356674,0.017094501802827945,0.025366093948943954,0.02131400299046605
2015-01-23,0.005146678313247853,0.006648407611927956,0.016778570464931652,-0.005188726631920318,0.008617230811836048,0.0023153816933419212,0.001060651397792592,0.0029011447441491573,-0.001638035618669716,0.011740036622550415
2015-01-26,0.0010612948167591926,-0.008777508890485926,-0.002339719651271428,0.0019333168199365857,-0.009697189855600365,-0.0042489535654521215,-0.003610204848333254,-0.0043549397080526065,0.025795883487269106,0.0070614091134934415
2015-01-27,-0.03564062335368077,-0.00944184985762653,-0.01834381544976678,-0.011994893587004871,-0.029361980141798864,-0.022443734159706862,-0.09709875229470463,-0.049202523569774434,-0.002763444831417415,0.0012408159818627286
